Car Make;Car Model;Year;Engine Size (L);Horsepower;Torque (lb-ft);0-60 MPH Time (seconds);Price (in USD)
Lamborghini  ;Huracan                      ;2021;5.2                 ;630    ;443    ;2.8  ;274,390.00
BMW          ;M8                           ;2022;4.4                 ;617    ;553    ;3.1  ;130,000.00
Nissan       ;GT-R Nismo                   ;2021;3.8                 ;600    ;481    ;2.5  ;212,000.00
Jaguar       ;F-Type                       ;2022;3                   ;296    ;295    ;5.4  ;70,100.00
Maserati     ;GranTurismo                  ;2021;4.7                 ;454    ;384    ;4.8  ;150,000.00
Bentley      ;Continental GT               ;2021;6                   ;626    ;664    ;3.6  ;225,000.00
Polestar     ;1                            ;2021;2                   ;600    ;738    ;4.1  ;155,000.00
Mercedes-Benz;SLS AMG                      ;2015;6.2                 ;622    ;468    ;3.2  ;222,000.00
Porsche      ;Taycan 4S                    ;2022;Electric Motor      ;562    ;479    ;3.8  ;104,000.00
McLaren      ;GT                           ;2021;4                   ;612    ;465    ;3.1  ;210,000.00
BMW          ;M4                           ;2022;3                   ;503    ;479    ;3.8  ;71,800.00
Nissan       ;370Z Nismo                   ;2021;3.7                 ;350    ;276    ;4.8  ;46,100.00
Lamborghini  ;Urus                         ;2021;4                   ;641    ;627    ;3.2  ;218,000.00
BMW          ;M5                           ;2022;4.4                 ;600    ;553    ;3.2  ;103,500.00
Chevrolet    ;Camaro SS                    ;2021;6.2                 ;455    ;455    ;4    ;42,900.00
Lamborghini  ;Aventador                    ;2021;6.5                 ;770    ;531    ;2.9  ;417,826.00
Nissan       ;370Z                         ;2021;3.7                 ;332    ;270    ;5    ;30,090.00
Chevrolet    ;Corvette Stingray            ;2021;6.2                 ;490    ;465    ;2.8  ;59,900.00
Porsche      ;718 Cayman                   ;2022;2                   ;300    ;280    ;4.5  ;61,000.00
Lexus        ;LC 500                       ;2022;5                   ;471    ;398    ;4.4  ;92,950.00
McLaren      ;GT                           ;2022;4                   ;620    ;465    ;3.1  ;213,195.00
Audi         ;TT RS                        ;2022;2.5                 ;394    ;354    ;3.4  ;67,000.00
Chevrolet    ;Camaro ZL1                   ;2021;6.2                 ;650    ;650    ;3.5  ;64,000.00
Lamborghini  ;Urus                         ;2021;4                   ;641    ;627    ;3.6  ;222,000.00
Porsche      ;Cayman GT4                   ;2022;4                   ;414    ;309    ;4.2  ;102,100.00
Audi         ;RS7                          ;2022;4                   ;591    ;590    ;3.5  ;114,000.00
Chevrolet    ;Camaro ZL1                   ;2021;6.2                 ;650    ;650    ;3.5  ;62,500.00
Lamborghini  ;Urus                         ;2021;4                   ;641    ;627    ;3.6  ;222,004.00
Porsche      ;Cayman                       ;2022;2.5                 ;365    ;309    ;4.5  ;68,900.00
McLaren      ;570S                         ;2021;3.8                 ;562    ;443    ;3.1  ;192,500.00
Ford         ;Mustang Mach 1               ;2021;5                   ;480    ;420    ;4    ;51,720.00
Ferrari      ;Roma                         ;2021;3.9                 ;612    ;561    ;3.3  ;222,620.00
Mercedes-Benz;AMG C63                      ;2021;4                   ;503    ;516    ;3.8  ;77,500.00
Bentley      ;Continental GT               ;2021;6                   ;626    ;664    ;3.4  ;220,300.00
McLaren      ;570S                         ;2020;3.8                 ;562    ;443    ;3.1  ;204,550.00
Rolls-Royce  ;Wraith                       ;2021;6.6                 ;624    ;605    ;4.3  ;330,000.00
TVR          ;Griffith                     ;2022;5                   ;500    ;479    ;3.8  ;123,500.00
Mercedes-Benz;SLS AMG                      ;2015;6.2                 ;622    ;468    ;3.6  ;228,000.00
Porsche      ;Taycan                       ;2021;Electric            ;750    ;774    ;2.6  ;185,000.00
McLaren      ;570S                         ;2021;3.8                 ;562    ;443    ;3.1  ;191,000.00
Porsche      ;Taycan                       ;2022;2                   ;402    ;254    ;5.1  ;81,250.00
