Car Make;Car Model;Year;Engine Size (L);Horsepower;Torque (lb-ft);0-60 MPH Time (seconds);Price (in USD)
Porsche      ;911                          ;2022;3                   ;379    ;331    ;4    ;101,200.00
McLaren      ;720S                         ;2021;4                   ;710    ;568    ;2.7  ;298,000.00
Ford         ;Mustang Shelby GT500         ;2022;5.2                 ;760    ;625    ;3.5  ;81,000.00
Dodge        ;Challenger SRT Hellcat       ;2022;6.2                 ;717    ;656    ;3.5  ;61,000.00
Lotus        ;Evora GT                     ;2021;3.5                 ;416    ;317    ;3.8  ;104,450.00
Ariel        ;Atom                         ;2021;2                   ;320    ;243    ;2.8  ;75,000.00
Pagani       ;Huayra                       ;2021;6                   ;720    ;737    ;2.8  ;2,800,000.00
Lamborghini  ;Aventador SVJ                ;2021;6.5                 ;759    ;531    ;2.8  ;517,770.00
BMW          ;M4                           ;2022;3                   ;503    ;479    ;3.8  ;72,800.00
Nissan       ;370Z Nismo                   ;2021;3.7                 ;350    ;276    ;4.5  ;45,690.00
Audi         ;RS3                          ;2022;2.5                 ;394    ;369    ;3.9  ;57,000.00
Porsche      ;Cayman                       ;2021;2                   ;300    ;280    ;5.1  ;58,900.00
McLaren      ;570S                         ;2021;3.8                 ;562    ;443    ;2.8  ;192,500.00
Ford         ;Mustang GT                   ;2022;5                   ;460    ;420    ;4.3  ;39,000.00
Porsche      ;Panamera                     ;2021;2.9                 ;325    ;331    ;5.1  ;87,200.00
McLaren      ;600LT                        ;2021;3.8                 ;592    ;457    ;2.8  ;241,000.00
BMW          ;M2                           ;2022;3                   ;405    ;406    ;4    ;58,900.00
Jaguar       ;F-Type                       ;2022;2                   ;296    ;295    ;5.4  ;62,750.00
Mercedes-Benz;C63 AMG                      ;2021;4                   ;503    ;516    ;3.8  ;70,100.00
BMW          ;M4                           ;2022;3                   ;473    ;406    ;4.1  ;72,800.00
Lamborghini  ;Urus                         ;2021;4                   ;641    ;627    ;3.6  ;218,009.00
Bentley      ;Continental GT               ;2021;6                   ;626    ;664    ;3.3  ;219,800.00
Koenigsegg   ;Jesko                        ;2022;5                   ;1600   ;1106   ;2.5  ;3,000,000.00
Mazda        ;MX-5 Miata                   ;2021;2                   ;181    ;151    ;6.5  ;26,830.00
Porsche      ;718 Cayman GT4               ;2022;4                   ;414    ;309    ;4.2  ;100,550.00
Toyota       ;Supra                        ;2022;3                   ;382    ;368    ;3.9  ;43,090.00
Ferrari      ;SF90 Stradale                ;2021;4                   ;986    ;590    ;2.5  ;625,000.00
Mercedes-Benz;SL 63 AMG                    ;2021;4                   ;603    ;664    ;3.5  ;155,000.00
Aston Martin ;DBS Superleggera             ;2021;5.2                 ;715    ;664    ;3.4  ;304,995.00
Porsche      ;Panamera Turbo S E-Hybrid    ;2021;4                   ;690    ;642    ;3.2  ;190,000.00
BMW          ;M2                           ;2022;3                   ;405    ;406    ;4.2  ;59,000.00
Bentley      ;Continental GT               ;2021;6                   ;626    ;664    ;3.6  ;220,300.00
BMW          ;M2                           ;2022;3                   ;405    ;406    ;4    ;58,900.00
Porsche      ;Panamera Turbo S             ;2022;4                   ;620    ;604    ;2.9  ;187,700.00
Audi         ;S5                           ;2022;3                   ;349    ;369    ;4.4  ;52,500.00
Audi         ;TT RS                        ;2021;2.5                 ;394    ;354    ;3.6  ;67,600.00
Chevrolet    ;Camaro SS                    ;2022;6.2                 ;455    ;455    ;4.1  ;44,000.00
Lamborghini  ;Urus                         ;2021;4                   ;641    ;627    ;3.5  ;218,009.00
BMW          ;M2 CS                        ;2022;3                   ;444    ;406    ;3.8  ;84,595.00
Aston Martin ;DB11                         ;2022;4                   ;503    ;513    ;3.7  ;204,100.00
Jaguar       ;F-Type                       ;2022;3                   ;380    ;339    ;4.9  ;69,900.00
Maserati     ;GranTurismo                  ;2020;4.7                 ;454    ;384    ;4.8  ;150,000.00
Rimac        ;C_Two                        ;2022;N/A                 ;1914   ;1696   ;1.9  ;2,400,000.00
Toyota       ;GR Supra                     ;2022;3                   ;382    ;368    ;3.9  ;43,090.00
Lamborghini  ;Aventador SVJ                ;2021;6.5                 ;770    ;531    ;2.8  ;518,000.00
BMW          ;M2 CS                        ;2022;3                   ;444    ;406    ;3.8  ;84,595.00
Nissan       ;370Z Nismo                   ;2021;3.7                 ;350    ;276    ;5    ;45,000.00
Audi         ;RS 3                         ;2022;2.5                 ;401    ;354    ;3.5  ;56,000.00
Chevrolet    ;Camaro ZL1                   ;2021;6.2                 ;650    ;650    ;3.5  ;64,000.00
Audi         ;RS 6 Avant                   ;2021;4                   ;591    ;590    ;3.5  ;109,000.00
Chevrolet    ;Camaro ZL1                   ;2021;6.2                 ;650    ;650    ;3.5  ;62,000.00
Porsche      ;Panamera                     ;2022;2.9                 ;325    ;332    ;5.3  ;87,200.00
Audi         ;RS 7                         ;2021;4                   ;591    ;590    ;3.5  ;114,000.00
Porsche      ;Panamera Turbo S             ;2021;4                   ;620    ;604    ;2.9  ;177,700.00
McLaren      ;600LT                        ;2021;3.8                 ;592    ;457    ;2.9  ;256,500.00
Dodge        ;Challenger SRT Hellcat       ;2022;6.2                 ;717    ;656    ;3.5  ;69,995.00
Ferrari      ;812 Superfast                ;2021;6.5                 ;789    ;530    ;2.9  ;363,730.00
Mercedes-Benz;AMG GT R                     ;2021;4                   ;577    ;516    ;3.5  ;183,000.00
Jaguar       ;F-Type R                     ;2021;5                   ;575    ;516    ;3.5  ;103,200.00
Alfa Romeo   ;4C                           ;2020;1.7                 ;237    ;258    ;4.1  ;67,150.00
Dodge        ;Charger SRT Hellcat          ;2022;6.2                 ;717    ;650    ;3.6  ;71,490.00
Nissan       ;370Z Nismo                   ;2021;3.7                 ;350    ;276    ;4.6  ;47,820.00
Porsche      ;Cayman GT4                   ;2021;4                   ;414    ;309    ;4.2  ;102,000.00
McLaren      ;600LT                        ;2021;3.8                 ;592    ;457    ;2.8  ;256,500.00
Ford         ;Mustang Mach 1               ;2021;5                   ;480    ;420    ;4    ;52,720.00
Ferrari      ;SF90 Stradale                ;2022;4                   ;986    ;590    ;2.5  ;625,000.00
